,name,connected_component
1583,Arbi Crevettenschwänze,
1618,Lipton Herbal Infusion Mint 100 sachets,
1620,Pouletherzen,
1681,Naturaplan : Jacutinga : Vollrohrzucker,
1706,COOP naturaplan Kichererbsen,
1714,MIGROS BIO  Zedernkerne ,
1723,"Coop Fine Food Kent Mango, getrocknet",
1754,Migros Bio Ransenstäbchen,
1762,nectaflor Bärner Bireschnitze,
1773,Milchgetränk laktosefrei,
1774,Spur : jus d'orange & fraise,
1778,,
1792,Coop Koriander,
1794,,
1796,,
1811,ALNATURA Bratöl,
1813,Migros Bio Nature Schafmilchjoghurt,
1859,Zitronen,
1888,Coop Mini Eichblattsalat,
1898,MIGROS BIO Bio-Clementinen,
1909,Migros Bio Steinpilze Getrocknet,
1939,Coop Kräuter Dill,
1946,Coop Qualité & Prix Thunfischsteak,
1960,Ti-ti Palha Batata Frita Potato,
1976,Ice Tea Zitrone,
1986,Alnatura Birne mit Heidelbeere,
1993,Coop Naturaplan Schnittlauch,
2000,Coop : Naturaplan : Langkornreis,
2009,,
2055,Coop : Naturaplan : Linsen grün,
2130,PROSECCO MASOTTINA Extra Dry,
2133,Migros Pro Montagna Bio Berg-Tee Verveine mit Kornblumenblüten,
2134,Mulini D'Onsernone Polenta Onsernone,
2162,,
2197,Blue Elephant Royal Thai Cuisine Thai Premium Rice Black Rice,
2199,,
2235,Mozzarella di Bufala,
2242,Balocco il Pandoro Ricetta Traditionale,
2263,MIGROS BIO Kaffee,
2333,Betty Bossi - Hot Chili,
2344,Thomy Tomatenpüree,
2350,,
2368,Coop let's cook! Kartoffeln,
2412,M Classic Magerquark,
2413,coop Tee aus wohlriechendem Eisenkraut,
2430,Quinta Nova 2011,
2435,StMichel : 12 Palets : French Shortbreads,
2443,Fromagerie M.M. Bory Tomme Artisanale de la Venoge Basilic frais,
2463,Rosalp Süssrahm-Butter,
2476,Ricola Gletscherminze Kräuterbonbons,
2482,Alnavit Bio Granatapfel Muttersaft,
2486,"Coop Naturaplan Datteln getrocknet, ohne Stein",
2487,Migros Bio Bio-Trauben Uva Italia,
2495,M Classic Borlotti Bohnen,
2504,M Classic Eisbergsalat,
2529,Thé Symphonie English Breakfast Schwarzer Tee,
2532,Migros Bio Kartoffeln Raclette,
2534,Coop - Naturaplan - Rote Rettich - Sprossen,
2535,Naturaplan : Weisskohl,
2542,Terrasuisse Polenta Maisgriess fein,
2573,Coop Naturaplan Datteln,
2583,Floramed Blasentee,
2590,coop Qualité & Prix BLÜTENHONIG,
2602,COOP naturaplan Erbsen mit Karottenscheiben,
2652,morga Tutti Frutti,
2653,innocent 100% orange sanguine de sicile,
2676,"naturaplan : ratatouille, Gemüsemischung",
2701,,
2709,Coop Qualité & Prix  Pangasiusfilets,
2722,Migros Bio Schwarztee,
2740,Anna's BEST Schalotte geschnitten,
2742,Coop naturaplan Bio red kidney bohnen,
2784,Coop Naturaplan Karotten geraffelt,
2807,ALNATURA Sesam ungeschält,
2827,Coop Qualité & Prix Cocktailcrevetten,
2833,Pelican Octopus Stücke,
2836,Coop PRIX GARANTIE Honig,
2837,Alnatura Tomaten Stücke Natur,
2858,Coop Naturaplan Mandeln gemahlen,
2860,Migros Sélection Orangen Blüten Honig,
