,Unnamed: 0,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,barcode,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin E (Tocopherol),Vitamin C (Ascorbic acid),Magnesium,Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Phosphorus,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids
26,26,18.0,525.0,125.0,3.5,2.0,3.5,0.08,2.0,14.0,7613269420101,Bircher Müesli CEREAL,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,,,,,,,,,,8002366000931,LA VITE LUCENTE 2013 TENUTA LUCE DELLA VITE TOSCANA,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,56.0,2295.0,550.0,33.0,1.6,5.6,0.57,18.5,48.5,7622210172976,Milka OREO,,123.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,,,,,,,,,,8005286022397,TORRI D'ORO PRIMITIVO DI MANDURIA,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,52.0,2366.0,568.0,37.0,,6.1,0.22,24.0,50.0,7610400072878,Lindt Chocoletti Summer Edition Swiss Milk Chocolate with coconut filing,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,,,,,,,,,,3147690051206,LABEL 5 BLENDED SCOTCH WHISKY Classic Black,,700.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,,,,,,,,,,7610848704638,FRI-MOUSSE BARBEBLANCHE,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,14.0,400.0,95.0,3.0,0.5,3.0,0.1,1.7,13.0,22016072,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,4.0,243.0,57.0,0.0,,10.3,0.1,,4.0,5201054015681,FAGE Total 0%,,170.0,g,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,72.1,1500.0,354.0,1.5,,12.0,0.03,0.3,3.8,5201193106028,Melissa Barley Wholesale,,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,59.0,1024.0,241.0,0.1,1.1,0.05,0.0,,59.0,3608580006046,Bonne Maman Konfitûre extra Aprikosen,,750.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,80.0,1510.0,361.0,0.5,1.0,7.0,0.01,0.0,0.0,7613331012838,"coop FINE FOOD Spanischer Paella-Reis ""Bomba""",,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,11.0,210.0,50.0,0.0,,0.7,0.0,,11.0,3182280072155,DANAO PFIRSICH APRIKOSE,,,ml,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,1.6,92.0,22.0,1.1,0.4,1.2,0.06,0.7,1.6,7613034365774,NESCAFÉ Dolce Gusto CAFÉ CON LECHE,,,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,,,,,,,,,,7611828151992,Coteaux Du Haut-Léman Noble Terre Chardonne,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,,,,,,,,,,7613331680679,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,22.0,1043.0,250.0,15.0,1.5,6.0,1.2,8.0,2.5,7610200315243,"Maître Pierre Flammkuchen mit Créme fraiche, Speck und Zwiebeln",,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
