,Carbohydrates,Energy (kCal),Fat,Protein,barcode,ingredients,name
89,13.4,198.0,13.8,2.8,4006099655608,"['huile de colza', 'poivrons doux et épicés', 'poivrons', 'sel', 'sucre', 'acidifiant', 'acide acétique', 'affermissant', 'chlorure de calcium', 'préparation au fromage frais', 'fromage frais ananas sucré', 'ananas', 'sucre', 'sel', 'amidon modifié', 'préparation à base de curry', 'épices', 'herbes aromatiques', 'sel', 'amidon', 'sucre', 'fruits en poudre', 'ananas', 'pomme', 'maltodextrine', 'protéines lactiques', 'lactose', 'acidifiant', 'acide lactique']",Feinkost Dittmann Pepper Bals Curry Ananas
91,55.0,565.0,35.0,7.0,7611654606840,"['sucre', 'lait entier en poudre', 'beurre de cacao', 'graisses végétales', 'noix de coco', 'inde', 'palme', 'palmiste', 'yogourt écrémé en poudre', 'cacao en pâte', 'noisettes', 'fraises en poudre', 'maltodextrine', 'fraises', 'arôme naturel', 'émulsifiant', 'e 322 de soja', 'arômes naturels', 'acidifiant', 'e 330', 'teneur en cacao du chocolat', 'minimum', 'ingrédients conformes aux standards du commerce équitable fairtrade', '68', 'du poids total', 'dont produits à base de cacao et sucres avec bilan de masse']",Coop Qualité & Prix Yogourt Fraise
92,65.0,346.0,1.5,15.0,7610200298218,"['farine de blé', ""farine d'épeautre/"", 'farine de seigle', 'de production biologique suisse', 'de production biologique étrangère']","MIGROS BIO Bauernmehl mit Weizen, Dinkel und Roggen"
93,12.0,53.0,0.1,0.5,3608580004691,"['jus et purées de fruits exotiques', 'ananas', 'oranges', 'fruits de la passion', 'mangues', 'épaississants', 'pectine de fruits', 'gellane']",Andros Multifrucht Exotic
94,61.0,347.0,3.5,12.0,7610800975236,"['flocons de froment', ""flocons d'avoine"", ""flocons d'orge"", 'flocons de millet', 'flocons de seigle']",5-Korn-Flocken
95,27.0,154.0,2.5,5.0,7613269577591,"['eau', 'farine fleur', 'œuf entier', ""base d'œuf entier en poudre"", 'hines herbes', 'persil', 'basilic', 'coriandre', 'ail', 'sel de cuisine', 'huile de palme', 'huile de tournesol']",Migros Bio Kräuterspätzli
96,6.0,87.0,6.0,1.0,7613269299257,"['maltodextrine', 'farine de blé', 'morilles séchées', 'sel de cuisine iodé', 'fécule de pommes de terre', 'amidon de maïs modifié', 'extrait de levure', 'oignons déshydratés', 'huile de tournesol', 'arômes', 'épaississants', 'farine de graines de caroubes et farine de graines de guar', 'extrait de champignons de paris', 'huile de colza', 'ail déshydraté', 'épice', 'protéine de lait', 'extrait de vin blanc', 'extrait de céleri']",Bon Chef Morchelsauce
97,80.0,371.0,1.0,8.0,7613269234210,"['maïs', 'sucre de canne brut', 'sel de cuisine', 'émulsifiant', 'lécthine de tournesol']",Migros Bio Cornflakes
98,0.0,828.0,92.0,0.0,7617027020596,['huile de colza'],Rapsöl
99,13.0,52.0,0.0,0.0,7618500948345,"[""jus d'orange"", 'it/eg', 'jus de carotte', 'ch/d', 'purée de banane', 'amérique du sud', 'juss de pomme', 'ch', ""jus d'ananas"", 'amérique du sud/asie', 'petit', 'lait', 'ch', 'jus de raisin', ""jus de baies d'argousier"", 'jus de betterave rouge', 'jus de citron', 'jus de citron concentré', 'pasteurisé']",Biotta VITA 7
100,3.0,77.0,0.0,10.0,8715035110502,"['eau', 'soja', 'blé', 'sel de cuisine']",Kikkoman : Sojasauce
101,5.9,45.0,1.2,2.8,7640145770494,"['de lait partiellement écrémé', 'de café arabice', 'fructose']",
102,34.0,142.0,0.0,0.7,7613312036181,"['abricots', 'fructose', 'eau', 'gélifiant', 'pectine', 'acidifiant', 'acide citrique', 'conservateur', 'e202', 'antioxydant', 'acide ascorbique']",Migros Extra Fit & Well Aprikosen
103,17.1,107.0,3.0,3.0,3033490906290,"['lait entier et lait écrémé concentré ou en poudre', '86', 'sucre', 'épaississants', 'e 1442', 'e 407', 'perméat de petit lait', 'lactosérum', 'en poudre', 'amidon', 'arôme', 'lait', 'colorant', 'e 160a']",DANONE Danette Saveur Vanille
104,72.2,359.0,2.0,11.5,8076809570626,"[""semoule de blé dur issu de l'agriculture biologique"", 'eau']",Barilla BIO PENNE RIGATE
106,4.1,102.0,4.2,11.9,7610100505065,"['lait écrémé pasteurisé', 'creme pasteurisée', 'sel de cuisine', 'protéines de lait', 'épaississants', 'gomme guar', 'gomme xanthane']",Hirz Nature Hüttenkäse
107,5.5,46.0,0.1,4.8,7610100727030,"['lait écrémé', 'eau', 'protéines de lait', 'fructose', 'fibres alimentaires', 'inuline', 'café décaféiné 0', 'amidon modifié', 'cacao maigre en poudre', 'sirop de sucre caramélise', 'édulcorants', 'aspartame', 'acésulfame', 'k', 'arôme']",Nestlé HIRZ Café
108,58.0,385.0,8.0,14.0,7610800996866,"[""flocons d'avoine bio""]",Vollkorn Haferflöckli
109,22.0,210.0,12.0,2.0,7616700188318,"['crème', 'purée de mango', 'eau', 'sucre', 'graisses végétales hydrogénées', 'sirop de glucose', 'lait écrémé en poudre', 'gélatine porcine', 'émulsifiants', 'e 472b', 'e 472a', 'e 471', 'amidon de maïs modifié', 'protéines du froment', 'stabilisant', 'e 450', 'gélifiant', 'e 401', 'arômes']",Migros Mousseline mangue
110,26.6,274.0,17.0,3.4,7613035009820,"['lait entier', 'sucre', 'crème', 'beurre de cacao', 'sirop de glucose', 'lait écrémé en poudre', 'lait entier en poudre', 'noix', 'eau', 'dextrose', 'amidons', 'tapioca', 'riz', ""jaune d'œuf"", ""sirop d'érable"", '0', 'protéines de lait', 'petit', 'lait en poudre', 'beurre concentré', 'émulsifiant', 'lécithine de tournesol', ""fibres d'agrumes"", 'huile de tournesol', 'arômes naturels', 'sirop de sucre caramélisé', 'extrait de vanille', 'jus de citron concentré']","Movenpick, mapple walnut - Ahornsirup Rahmeis mit Ahornsirupsauce (4%), weisse Schokolade aus der Rahm (29%) und karamellisieren Walnussstückchen"
